follower,following
131537442,163238842
19696683,17269930
312805417,221010883
196429355,212293329
308844673,217856118
181299506,139095342
22462180,117674417
212293329,34428380
248108296,40838410
139095342,263838766
276706356,143540685
184097849,163238842
308844673,277142399
357866811,34428380
160053476,307139253
195475105,21295636
46759611,221010883
384996968,24989174
195475105,213777144
85716069,34428380
357866811,189875309
279777349,358155683
279777349,168224294
317967511,528066013
189898898,181162395
184097849,262340283
88323281,112939321
181162395,227454804
215785630,238260874
220729949,498135942
164880154,217856118
358155683,228837973
96446770,43003845
198224160,88323281
229291486,66215789
168224294,193503847
95765264,34428380
229291486,220557335
307139253,88323281
220729949,248108296
168220987,263838766
168224294,283711673
303456795,528066013
349994706,198224160
181162395,40981798
139095342,238260874
223244654,40981798
220729949,168224294
96446770,319319045
143540685,262340283
164880154,43003845
227454804,262340283
189875309,215785630
283306479,43003845
168220987,262340283
174857888,40550544
240905997,238260874
403776751,215785630
66215789,117674417
168224294,46759611
251261925,8088112
113058991,70492333
221829166,223990701
217856118,184097849
40840429,22462180
202387543,40981798
279777349,277142399
228837973,123715869
221829166,117674417
82980971,40981798
184097849,248108296
46759611,229291486
85901645,22462180
191924526,215785630
267897389,100318079
435877791,123715869
358155683,44201632
401572852,227454804
223702895,262340283
34428380,8088112
435877791,230601773
263838766,238260874
357866811,264545327
358155683,189875309
196309171,238260874
279777349,251261925
181369136,184097849
360245938,240905997
164880154,189906914
221010883,277142399
385587514,181162395
39875898,59084143
303456795,385587514
401572852,117674417
134301914,133055665
202387543,230601773
277142399,143540685
176458263,195475105
499035637,230601773
213777144,251261925
223702895,181162395
79297894,262340283
181162395,361901302
181299506,40981798
229291486,385587514
361901302,228837973
131537442,8088112
198224160,262340283
303456795,435877791
282679998,80929181
279777349,220729949
227454804,34428380
283306479,160053476
108633391,133055665
221010883,21068395
201526384,221829166
123715869,191924526
168224294,240982109
267897389,43003845
131537442,283306479
201526384,263838766
433789613,373060257
40838410,41110545
215785630,221829166
231444167,128875517
136428003,230601773
43003845,46209291
166358938,34428380
231921253,88323281
215785630,22462180
317967511,43003845
264545327,34428380
189875309,283711673
189906914,96446770
168220987,215785630
210072500,240982109
23748448,39875898
123715869,143540685
228837973,361901302
79297894,312805417
8088112,117674417
116498875,189898898
188775184,34428380
282679998,382828273
82980971,277142399
266869425,234047967
163238842,127016368
168852078,178184972
113058991,28465635
317967511,283711673
184097849,240982109
220729949,34428380
283306479,108633391
358155683,263786375
100318079,195475105
212293329,227454804
131537442,184097849
283306479,136428003
67736291,317967511
79297894,34428380
433789613,178184972
23748448,17269930
217856118,166358938
123715869,283306479
201526384,96446770
160053476,34428380
385587514,349994706
223990701,178184972
340545830,223702895
82980971,262340283
266869425,27307810
96446770,134301914
248108296,43003845
198224160,357866811
202387543,189898898
108633391,27633075
113058991,117674417
46209291,88323281
223244654,191924526
189875309,193503847
357866811,196429355
213777144,117674417
264545327,66215789
143540685,250388198
215785630,43003845
176458263,189875309
181162395,189898898
210072500,198224160
308844673,27633075
215785630,240982109
46209291,67736291
340545830,230601773
332353057,100318079
122255275,21068395
148833990,27307810
181162395,215785630
